target_name,partition,mechanism,params_str,n_users,genuine_hours,false_locks,false_locks_per_hour_pooled,fr_frames,frr_time_pooled,X_fa_frames,X_impostor_frames,X_far_frame_pooled,M_fa_frames,M_impostor_frames,M_far_frame_pooled,X_ania_median__median,X_ania_median__ci_lo,X_ania_median__ci_hi,X_ania_median__mean,M_ania_median__median,M_ania_median__ci_lo,M_ania_median__ci_hi,M_ania_median__mean,X_first_lock_median__median,X_first_lock_median__ci_lo,X_first_lock_median__ci_hi,X_first_lock_median__mean,M_first_lock_median__median,M_first_lock_median__ci_lo,M_first_lock_median__ci_hi,M_first_lock_median__mean,X_recovery_median__median,X_recovery_median__ci_lo,X_recovery_median__ci_hi,X_recovery_median__mean,M_recovery_median__median,M_recovery_median__ci_lo,M_recovery_median__ci_hi,M_recovery_median__mean,X_miss_rate__median,X_miss_rate__ci_lo,X_miss_rate__ci_hi,X_miss_rate__mean,M_miss_rate__median,M_miss_rate__ci_lo,M_miss_rate__ci_hi,M_miss_rate__mean,X_far_frame__median,X_far_frame__ci_lo,X_far_frame__ci_hi,X_far_frame__mean,M_far_frame__median,M_far_frame__ci_lo,M_far_frame__ci_hi,M_far_frame__mean,frr_time__median,frr_time__ci_lo,frr_time__ci_hi,frr_time__mean,false_locks_per_hour__median,false_locks_per_hour__ci_lo,false_locks_per_hour__ci_hi,false_locks_per_hour__mean,transitions_per_hour__median,transitions_per_hour__ci_lo,transitions_per_hour__ci_hi,transitions_per_hour__mean,pingpong_per_hour__median,pingpong_per_hour__ci_lo,pingpong_per_hour__ci_hi,pingpong_per_hour__mean,lockout_mean_frames__median,lockout_mean_frames__ci_lo,lockout_mean_frames__ci_hi,lockout_mean_frames__mean
sensitivity_2,test,threshold,theta=0.01984,33,714.1999999999999,80,0.11201344161299356,126,0.002940352842341081,7563,13596,0.5562665489849956,7445,13596,0.5475875257428655,2.5,1.5,6.0,4.787878787878788,3.0,3.0,3.0,5.590909090909091,1.0,0.0,3.0,3.1818181818181817,1.5,1.0,2.5,3.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.5,0.4393939393939394,0.375,0.3125,0.4375,0.42803030303030304,0.5166666666666666,0.453125,0.6375,0.5513888888888889,0.5270833333333333,0.5072916666666667,0.5875,0.5719381313131313,0.0,0.0,0.0010643959552953698,0.003445795299050682,0.0,0.0,0.06386375731772219,0.12903981374142093,0.0,0.0,0.12772751463544438,0.25807962748284186,0.0,0.0,0.06386375731772219,0.1974468942556204,1.0789473684210527,1.0,1.3333333333333333,1.3400763814297647
sensitivity_2,test,moving_average,"k=2, theta=0.04743",33,714.1999999999999,82,0.1148137776533184,212,0.004947260337907215,6992,13596,0.5142689026184172,6720,13596,0.4942630185348632,2.5,1.0,3.0,3.9545454545454546,3.0,2.0,3.0,4.242424242424242,1.5,1.0,2.0,3.1515151515151514,2.0,1.0,3.0,3.378787878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.3125,0.375,0.36363636363636365,0.3125,0.25,0.375,0.3712121212121212,0.521875,0.48125,0.5864583333333333,0.5428345959595958,0.515625,0.503125,0.5885416666666666,0.5642045454545455,0.0,0.0,0.001658374792703151,0.007045724925963509,0.0,0.0,0.07957559681697612,0.15043572680172881,0.0,0.0,0.15727391874180865,0.30087145360345763,0.0,0.0,0.07863695937090433,0.19845032356266396,1.6354166666666665,1.0,3.3636363636363638,2.915557359307359
sensitivity_2,test,ewma,"alpha=0.7, theta=0.06297",33,714.1999999999999,67,0.09381125735088211,254,0.005927377952020909,6953,13596,0.5114004118858487,6657,13596,0.48962930273609884,2.5,2.0,3.0,4.106060606060606,3.0,2.5,3.0,4.303030303030303,2.0,2.0,3.0,3.484848484848485,2.5,2.0,3.0,3.909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.375,0.3503787878787879,0.25,0.25,0.4375,0.3522727272727273,0.5760416666666667,0.5270833333333333,0.615625,0.586111111111111,0.575,0.5447916666666667,0.628125,0.601294191919192,0.0,0.0,0.0006480881399870382,0.008614773374296732,0.0,0.0,0.0388852883992223,0.11615672341106453,0.0,0.0,0.0777705767984446,0.23231344682212907,0.0,0.0,0.0,0.14796062185691103,2.7333333333333334,1.4166666666666665,6.714285714285714,4.759209656084656
sensitivity_2,test,majority_vote,"k=3, theta=0.06297",33,714.1999999999999,65,0.09101092131055727,343,0.008004293848595165,6217,13596,0.45726684318917327,5821,13596,0.42814062959694027,1.5,1.0,2.0,3.1666666666666665,2.0,1.0,3.0,3.3636363636363638,1.5,1.0,2.0,2.6818181818181817,1.5,1.0,3.0,3.257575757575758,0.5,0.0,1.0,0.5757575757575758,1.0,0.0,1.0,0.5454545454545454,0.25,0.25,0.3125,0.2935606060606061,0.1875,0.1875,0.3125,0.2916666666666667,0.46770833333333334,0.4270833333333333,0.5083333333333333,0.4946338383838384,0.459375,0.42916666666666664,0.5375,0.5089015151515153,0.0,0.0,0.003869541182974019,0.011196366559064927,0.0,0.0,0.06633499170812604,0.10406577974725507,0.0,0.0,0.13266998341625208,0.20813155949451015,0.0,0.0,0.046838407494145196,0.11472894300719391,3.75,2.347500000000001,7.428571428571429,7.116212609445692
sensitivity_2,test,debounce,"T=2, theta=0.07586",33,714.1999999999999,66,0.09241108933071969,421,0.00982451227480631,5941,13596,0.43696675492792,5588,13596,0.4110032362459547,1.0,1.0,2.0,3.1363636363636362,2.0,1.0,3.0,3.393939393939394,1.0,1.0,2.0,2.727272727272727,1.5,1.0,3.0,2.9545454545454546,1.0,0.5,1.0,0.696969696969697,1.0,0.0,1.0,0.5909090909090909,0.25,0.1875,0.3125,0.2746212121212121,0.1875,0.125,0.3125,0.2727272727272727,0.4552083333333333,0.4114583333333333,0.484375,0.47964015151515144,0.459375,0.4041666666666667,0.5333333333333333,0.4930555555555555,0.0,0.0,0.004975124378109453,0.013363345941721606,0.0,0.0,0.06633499170812604,0.10509304817086851,0.0,0.0,0.13266998341625208,0.21018609634173702,0.0,0.0,0.06479481641468682,0.09424168836430111,4.4423076923076925,2.8333333333333335,7.0,9.437580128205129
sensitivity_2,test,margin,"m=0.05, theta=0.04743",33,714.1999999999999,69,0.09661159339120695,203,0.0047372351348828525,6674,13596,0.490879670491321,6323,13596,0.46506325389820535,1.5,0.0,4.5,3.5,2.5,1.5,3.0,3.5757575757575757,1.0,0.0,2.5,2.772727272727273,1.0,0.5,2.0,2.878787878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.375,0.3541666666666667,0.3125,0.1875,0.375,0.35795454545454547,0.4625,0.3958333333333333,0.5802083333333333,0.4882891414141414,0.4614583333333333,0.41354166666666664,0.5270833333333333,0.5057449494949494,0.0,0.0,0.0015592515592515593,0.005809941927465994,0.0,0.0,0.05813953488372093,0.10096166583652595,0.0,0.0,0.11627906976744186,0.2019233316730519,0.0,0.0,0.04950495049504951,0.12953418440912207,1.4166666666666665,1.0,2.1538461538461537,4.007803790412486
sensitivity_2,test,hysteresis,"m=0.3, T=2, theta=0.2315",33,714.1999999999999,51,0.0714085690282834,768,0.01792215065807897,4608,13596,0.3389232127096205,4254,13596,0.31288614298323036,1.0,1.0,1.5,2.727272727272727,1.5,1.0,3.0,2.909090909090909,1.0,1.0,1.5,2.6818181818181817,1.5,1.0,2.5,2.803030303030303,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.7575757575757576,0.1875,0.125,0.25,0.24431818181818182,0.1875,0.125,0.25,0.24242424242424243,0.39166666666666666,0.315625,0.4479166666666667,0.4109532828282828,0.3833333333333333,0.33229166666666665,0.459375,0.42077020202020204,0.0010395010395010396,0.0,0.010484927916120577,0.022082694427697974,0.031185031185031183,0.0,0.06479481641468682,0.07996709099804604,0.05813953488372093,0.0,0.12958963282937364,0.1513046682012403,0.0,0.0,0.0,0.021734103786138898,10.0,8.0,17.25,16.05438842203548
sensitivity_2,test,trust,"r=0.5, tau=0.5, theta=0.2689",33,714.1999999999999,48,0.06720806496779615,908,0.021189209371791282,4945,13596,0.36370991468078845,4593,13596,0.337819947043248,3.0,3.0,3.5,3.878787878787879,3.5,3.0,4.0,4.0606060606060606,3.0,3.0,3.5,3.8636363636363638,3.5,3.0,4.0,3.984848484848485,0.5,0.0,1.0,0.5,0.5,0.0,1.0,0.5151515151515151,0.375,0.3125,0.4375,0.3731060606060606,0.375,0.3125,0.4375,0.3731060606060606,0.5645833333333333,0.4625,0.5895833333333333,0.541635101010101,0.5197916666666667,0.49583333333333335,0.5854166666666667,0.5441919191919192,0.0,0.0,0.008013496415014762,0.024479677675789967,0.0,0.0,0.046838407494145196,0.07648041530094413,0.0,0.0,0.09266409266409267,0.14674269852876298,0.0,0.0,0.0,0.04396249504659153,14.5,10.0,19.0,26.012698412698413
sensitivity_2,test,sprt,"alpha=0.001, beta=1.35e-08",33,714.1999999999999,38,0.05320638476617195,2040,0.047605712685522265,3944,13596,0.2900853192115328,3607,13596,0.2652986172403648,4.0,3.5,4.0,4.0606060606060606,4.0,3.5,4.0,4.0606060606060606,4.0,3.5,4.0,4.0606060606060606,4.0,3.5,4.0,4.0606060606060606,2.0,2.0,3.0,2.742424242424242,2.0,1.5,3.0,4.712121212121212,0.3125,0.25,0.375,0.32386363636363635,0.3125,0.25,0.3125,0.32765151515151514,0.49270833333333336,0.4354166666666667,0.5271614583333322,0.4946338383838383,0.4791666666666667,0.45729166666666665,0.515625,0.49384469696969696,0.003143006809848088,0.0,0.039318479685452164,0.05020435550110958,0.030706243602865915,0.0,0.06479481641468682,0.057853704880769095,0.05813953488372093,0.0,0.09367681498829039,0.10074152033844691,0.0,0.0,0.0,0.001178342072703706,30.0,23.333333333333332,78.0,53.6764705882353
sensitivity_2,test,hmm,"rho=0.1, theta=0.0009111",33,714.1999999999999,99,0.13861663399607954,232,0.005413983011294689,7130,13596,0.5244189467490439,6879,13596,0.5059576345984113,2.5,2.5,3.0,4.196969696969697,3.0,2.5,3.5,4.5606060606060606,2.0,2.0,3.0,3.4696969696969697,2.5,2.0,3.0,3.8484848484848486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.375,0.3428030303030303,0.3125,0.25,0.4375,0.3693181818181818,0.58125,0.5520833333333333,0.640625,0.592361111111111,0.5927083333333333,0.5458333333333333,0.6333333333333333,0.6126893939393939,0.0,0.0,0.0012652889076339097,0.007715730617976859,0.0,0.0,0.06633499170812604,0.18695622455989538,0.0,0.0,0.13266998341625208,0.37215064503240525,0.0,0.0,0.09950248756218906,0.2811434398563771,1.4852941176470589,1.0,2.4722222222222223,2.112396713071193
primary,val,threshold,theta=0.04311,33,714.5500000000001,101,0.1413477013505003,140,0.0032654584470412614,5490,13596,0.40379523389232125,6236,13596,0.45866431303324506,1.5,0.0,3.0,2.909090909090909,2.5,0.0,3.0,3.742424242424242,0.0,0.0,0.5,1.621212121212121,0.0,0.0,1.0,1.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1875,0.375,0.30492424242424243,0.3125,0.1875,0.3125,0.32954545454545453,0.39791666666666664,0.2947916666666667,0.4708333333333333,0.42376893939393945,0.40625,0.3458333333333333,0.475,0.45239898989898997,0.00234192037470726,0.0017251293847038527,0.0038639876352395673,0.003762393151108166,0.12772751463544438,0.09104704097116845,0.1593625498007968,0.14541381442131987,0.25545502927088876,0.17725258493353027,0.3187250996015936,0.29082762884263974,0.1405152224824356,0.09104704097116845,0.22528160200250313,0.1915264293267464,1.0,1.0,1.5,1.4505036630036632
primary,val,moving_average,"k=2, theta=0.09975",33,714.5500000000001,90,0.12595339724302007,196,0.004571641825857766,5004,13596,0.3680494263018535,5689,13596,0.4184318917328626,1.0,1.0,2.0,2.4696969696969697,1.5,1.0,2.0,3.0303030303030303,1.0,1.0,1.0,1.8636363636363635,1.0,1.0,1.0,2.4242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.3125,0.2481060606060606,0.1875,0.125,0.25,0.24242424242424243,0.4010416666666667,0.33229166666666665,0.459375,0.43191287878787876,0.4166666666666667,0.37916666666666665,0.4791666666666667,0.46155303030303035,0.0032921810699588477,0.0015600624024961,0.004545454545454545,0.005372730152450148,0.09876543209876543,0.06113092205807437,0.1948051948051948,0.13295473062341148,0.19753086419753085,0.12226184411614874,0.34944670937682004,0.26590946124682296,0.093603744149766,0.058997050147492625,0.20966802562609202,0.15164790168880857,1.55,1.0,2.0,2.4741780045351476
primary,val,ewma,"alpha=0.7, theta=0.1091",33,714.5500000000001,93,0.1301518438177874,207,0.004828213560982436,4947,13596,0.3638570167696381,5663,13596,0.416519564577817,2.0,1.0,2.0,2.5606060606060606,2.0,1.0,2.5,3.0757575757575757,1.5,1.0,2.0,2.1363636363636362,1.5,1.0,2.0,2.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.3125,0.24242424242424243,0.1875,0.125,0.25,0.23674242424242425,0.41666666666666663,0.3333333333333333,0.465625,0.440625,0.4375,0.38125,0.4927083333333333,0.47187499999999993,0.0037546933667083854,0.0015772870662460567,0.005763688760806916,0.005536638222518805,0.09579563597658329,0.06900517538815411,0.17721518987341772,0.13525315092312495,0.19159127195316658,0.13801035077630822,0.35398230088495575,0.2705063018462499,0.12480499219968799,0.0796812749003984,0.1948051948051948,0.17021301302609224,1.3333333333333333,1.1666666666666667,2.25,2.6119929453262785
primary,val,majority_vote,"k=3, theta=0.1091",33,714.5500000000001,88,0.12315443285984184,266,0.0062043710493783965,4496,13596,0.33068549573403944,5068,13596,0.3727566931450427,1.0,1.0,1.0,2.0606060606060606,1.0,1.0,1.0,2.5757575757575757,1.0,1.0,1.0,1.893939393939394,1.0,1.0,1.0,2.3484848484848486,1.0,1.0,1.0,0.7575757575757576,1.0,0.5,1.0,0.696969696969697,0.1875,0.125,0.25,0.2178030303030303,0.125,0.125,0.1875,0.19318181818181818,0.371875,0.29583333333333334,0.42812500000000003,0.40157828282828284,0.375,0.30833333333333335,0.421875,0.42061237373737376,0.00398406374501992,0.0026609898882384245,0.007142857142857143,0.0072276552675821,0.11799410029498525,0.08135593220338984,0.14839241549876342,0.12662020565734683,0.2359882005899705,0.16271186440677968,0.2803738317757009,0.25324041131469366,0.11049723756906077,0.06211180124223602,0.15267175572519084,0.12350840561790902,2.6,2.0,3.0,3.3548440065681446
primary,val,debounce,"T=2, theta=0.1545",33,714.5500000000001,97,0.13574977258414386,451,0.010519441140111493,3940,13596,0.2897911150338335,4386,13596,0.32259488084730803,1.0,1.0,1.0,1.5151515151515151,1.0,1.0,1.0,1.9393939393939394,1.0,1.0,1.0,1.4696969696969697,1.0,1.0,1.0,1.7727272727272727,1.0,1.0,1.0,0.8484848484848485,1.0,1.0,1.0,0.8333333333333334,0.125,0.125,0.1875,0.1856060606060606,0.125,0.125,0.1875,0.1590909090909091,0.3552083333333333,0.2791666666666667,0.40208333333333335,0.36196338383838383,0.359375,0.3208333333333333,0.384375,0.37825126262626263,0.008441558441558441,0.004916420845624385,0.01728395061728395,0.011869917164415414,0.12422360248447203,0.09169638308711156,0.17721518987341772,0.14377611071211815,0.24844720496894407,0.18339276617422312,0.35443037974683544,0.2875522214242363,0.09876543209876543,0.06386375731772219,0.1518987341772152,0.12866625571675294,4.083333333333334,2.8,5.803571428571429,4.796904761904762
primary,val,margin,"m=0.3, theta=0.1978",33,714.5500000000001,82,0.11475753971030718,336,0.007837100272899028,4016,13596,0.2953809944101206,4573,13596,0.33634892615475137,0.0,0.0,1.0,1.5757575757575757,0.0,0.0,2.0,2.1363636363636362,0.0,0.0,0.5,1.378787878787879,0.0,0.0,1.0,1.878787878787879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.25,0.22537878787878787,0.1875,0.125,0.1875,0.2178030303030303,0.321875,0.20520833333333333,0.3645833333333333,0.3333333333333333,0.3052083333333333,0.22291666666666668,0.35625,0.3445075757575758,0.005824111822947,0.004552352048558422,0.007886435331230283,0.008538107623042409,0.10178117048346057,0.08645533141210375,0.14018691588785046,0.11471190917049733,0.20356234096692113,0.1729106628242075,0.2803738317757009,0.22942381834099465,0.06211180124223602,0.034944670937682006,0.11049723756906077,0.09442677026337365,4.5,2.0,6.0,5.0435185185185185
