mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
sprt,M,3,132,1.0,0.2803030303030303,0.4671717171717171,1.0
sprt,M,10,132,1.0,0.09848484848484848,0.2681818181818182,1.0
sprt,M,30,132,1.0,0.022727272727272728,0.11590909090909089,1.0
sprt,M,60,132,1.0,0.015151515151515152,0.10883838383838382,1.0
sprt,X,3,132,1.0,0.30303030303030304,0.452020202020202,1.0
sprt,X,10,132,1.0,0.07575757575757576,0.2212121212121212,1.0
sprt,X,30,132,1.0,0.030303030303030304,0.12222222222222219,1.0
sprt,X,60,132,1.0,0.045454545454545456,0.11464646464646462,1.0
hmm,M,3,132,1.5,0.3484848484848485,0.5858585858585859,1.0
hmm,M,10,132,1.0,0.11363636363636363,0.30454545454545456,2.0
hmm,M,30,132,1.0,0.030303030303030304,0.13005050505050503,2.0
hmm,M,60,132,1.0,0.007575757575757576,0.10441919191919188,2.0
hmm,X,3,132,1.0,0.3333333333333333,0.5454545454545454,1.0
hmm,X,10,132,1.0,0.06060606060606061,0.2545454545454546,2.0
hmm,X,30,132,1.0,0.030303030303030304,0.14141414141414138,2.0
hmm,X,60,132,1.0,0.03787878787878788,0.12335858585858582,2.0
