genuine_uuid,n_train_genuine,n_train_impostor,n_train_impostor_users,n_features_used,platt_coef,platt_intercept,val_eer,val_auc,val_far_at_0.5,val_frr_at_0.5,val_brier_balanced,val_genuine_frac_p_le_0.4,val_genuine_frac_band_0.4_0.6,val_impostor_frac_p_ge_0.6,val_impostor_frac_band_0.4_0.6,val_genuine_median_p,val_impostor_median_p,val_n_genuine,val_n_impostor,val_eer_raw,test_eer,test_auc,test_far_at_0.5,test_frr_at_0.5,test_brier_balanced,test_genuine_frac_p_le_0.4,test_genuine_frac_band_0.4_0.6,test_impostor_frac_p_ge_0.6,test_impostor_frac_band_0.4_0.6,test_genuine_median_p,test_impostor_median_p,test_n_genuine,test_n_impostor,test_eer_raw,val_frac_within_90s_of_train,test_frac_within_90s_of_train,test_transitions_at_0.5,test_transitions_per_hour_at_0.5,fit_seconds
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,4512,16000,16,52,0.6783736405910361,1.311706802261633,0.15757437595688856,0.9240499234489132,0.18802228412256267,0.0888135593220339,0.10600525137802955,0.05084745762711865,0.13898305084745763,0.14434938320732194,0.08933545563072025,0.8382868985967273,0.04095306572356276,1475,10052,0.15757437595688856,0.07744295336053547,0.9800539728456772,0.2829429367454339,0.008813559322033898,0.09892004319981965,0.0047457627118644066,0.012203389830508475,0.22185532968733876,0.1314621814054277,0.9850472596984764,0.23321904642995467,1475,9691,0.07744295336053547,0.0,0.0,24,0.976271186440678,1.37
B09E373F-8A54-44C8-895B-0039390B859F,4880,16000,16,52,0.6681017076179244,0.3524892595348829,0.17039715774667188,0.9185714952935344,0.1992801666982383,0.13642052565707133,0.11514259578692532,0.09011264080100125,0.12265331664580725,0.14453494980109868,0.11053229778367114,0.8401554713463681,0.06990300038492891,1598,10558,0.17039715774667188,0.17781160801441004,0.8961160419548939,0.2820157189089228,0.07446808510638298,0.1297370416953823,0.03879849812265332,0.0951188986232791,0.21248266296809987,0.1306518723994452,0.8999551039900499,0.1938962166933839,1598,10815,0.17781160801441004,0.0,0.0,162,6.0826032540675845,1.49
B9724848-C7E2-45F4-9B3F-A1F38D864495,4575,16000,16,52,1.1080179133799992,0.03305067664067854,0.06287114898720492,0.985444655537716,0.03710229039278682,0.08957219251336898,0.044236603815584266,0.06818181818181818,0.03877005347593583,0.023629391646802778,0.033267696134314434,0.9991603028959527,0.022233354925141127,1496,9649,0.06287114898720492,0.12745755733462788,0.9501068377456211,0.05213445689415687,0.23179692718770875,0.09919864714625792,0.19438877755511022,0.07080828323313293,0.0340772293730901,0.03944809704602278,0.9980310515557393,0.01339646219843471,1497,10799,0.12745755733462788,0.0,0.0,181,7.254509018036073,1.36
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,4985,16000,16,52,0.377814772311662,0.35280628150657495,0.2598669493150393,0.8552180168216025,0.24085476276711337,0.31985294117647056,0.15722592052941392,0.11764705882352941,0.25919117647058826,0.1935289146444525,0.10080888566944343,0.7596390049297612,0.2099840547895451,1632,8283,0.2598669493150393,0.24770408595084115,0.824657595626783,0.16495934959349592,0.31598285364360074,0.17426553085931626,0.2541334966319657,0.13043478260869565,0.12121951219512195,0.11422764227642276,0.7342898502531275,0.1841608276509401,1633,12300,0.24770408595084115,0.0,0.0,198,7.2749540722596455,1.44
C48CE857-A0DD-4DDB-BEA5-3A25449B2153,3055,16000,16,52,0.6950986773515918,1.7823217267220384,0.09718252124723309,0.9761939336863503,0.0992099792099792,0.09504550050556117,0.06396117554564457,0.07077856420626896,0.05864509605662285,0.07783783783783783,0.044573804573804575,0.9974878024005355,0.018113753849729086,989,12025,0.09718252124723309,0.04330381467310925,0.9920698787918705,0.10175854574194823,0.025252525252525252,0.04501377161236048,0.01818181818181818,0.01919191919191919,0.07053941908713693,0.07676348547717843,0.9993865556257289,0.032433767370599324,990,10122,0.04330381467310925,0.0,0.0,22,1.3333333333333333,1.06
CA820D43-E5E2-42EF-9798-BE56F776370B,4719,16000,16,52,1.1177495503008483,0.928193619686406,0.11725625315397391,0.9548775496084112,0.130637781305444,0.1055699481865285,0.08440738288582372,0.0744818652849741,0.06865284974093264,0.09767485292744421,0.07227565599028854,0.9279714425470542,0.04144317884693704,1544,10709,0.11725625315397391,0.16970990789116652,0.9194007802656733,0.15730895359236807,0.19818652849740934,0.11832568973700339,0.13989637305699482,0.10880829015544041,0.12441617807810793,0.06568617708436848,0.8534963854018901,0.030939429561455917,1544,10063,0.16970990789116652,0.0,0.0,288,11.191709844559584,1.49
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,1716,16000,16,52,1.1872519119983589,2.0655400824758705,0.07547827226891918,0.9805051548703477,0.0769070662920179,0.0718232044198895,0.05370582025643794,0.05156537753222836,0.04419889502762431,0.0640024976584452,0.028723072119887606,0.9844976738671847,0.013511924207974984,543,9609,0.07547827226891918,0.050146080726656855,0.9881514705892969,0.10789886319090553,0.016574585635359115,0.04851664147875714,0.014732965009208104,0.007366482504604052,0.08604468835750687,0.04527636221089769,0.9988605416645656,0.024648548965322398,543,10204,0.050146080726656855,0.0,0.0,10,1.1049723756906076,1.0
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,2169,16000,16,52,0.5944631717812191,0.7268270658128038,0.17810868577450278,0.9099565030662728,0.13775941402948633,0.19452449567723343,0.11870579036555995,0.1685878962536023,0.06484149855907781,0.08911634895295333,0.11916611888440229,0.9107934067127368,0.1671987384873093,694,10649,0.17810868577450278,0.11400793881598184,0.9584267854567647,0.13289097779006542,0.0893371757925072,0.081824536692199,0.06340057636887608,0.06484149855907781,0.09418486775412405,0.08072988664639204,0.8862147775009337,0.0863261113582136,694,10851,0.11400793881598184,0.0,0.0,75,6.4841498559077815,1.24
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,3726,16000,16,52,0.7819954374143855,1.3951666178652662,0.08628711745176137,0.9789847509479248,0.07126707952423081,0.09315746084089035,0.05911651291265475,0.08161582852431987,0.028854080791426217,0.05308168681804777,0.044824535535240344,0.9959504967619767,0.02203709850671038,1213,10173,0.08628711745176137,0.09393996160595056,0.9750032653846882,0.052334664120812356,0.1311881188118812,0.06386359627904648,0.10643564356435643,0.04372937293729373,0.03567089047040444,0.04218017705259504,0.9852242408160645,0.03333979750055439,1212,11522,0.09393996160595056,0.0,0.0,104,5.148514851485149,1.52
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,2064,16000,16,52,0.8083389378180481,1.7934039826132988,0.11861712171648424,0.9628378029758544,0.09776560982071889,0.13505311077389984,0.07976389848157142,0.10925644916540213,0.05614567526555387,0.07277223350702111,0.06076128234566811,0.9871358709646403,0.045496412644519965,659,11323,0.11861712171648424,0.1982342257048661,0.896320394281839,0.05107467316640815,0.3606060606060606,0.14988663088773233,0.3242424242424242,0.06363636363636363,0.03523155329049413,0.04077110569465987,0.989190040770414,0.0514750484696241,660,9026,0.1982342257048661,0.0,0.0,70,6.363636363636363,0.9
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,2118,16000,16,52,0.8020414034134429,0.07029778771251124,0.06793881138896801,0.9844581309129854,0.07682533476688495,0.056129985228951254,0.04940333315080796,0.04283604135893648,0.050221565731166914,0.05786335646564363,0.04026976835108983,0.9946411507517998,0.003478616997761224,677,10231,0.06793881138896801,0.061936269419979456,0.9898486453494956,0.0778149153958638,0.051698670605613,0.04306920092486463,0.033973412112259974,0.03249630723781388,0.056611656569876746,0.04836014205138918,0.9940886279371073,0.00658439550020026,677,9574,0.061936269419979456,0.0,0.0,44,3.8995568685376663,1.2
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,2983,16000,16,52,0.7369259018533363,0.034952429392884045,0.09335528561202765,0.9697753333235946,0.10829591618558905,0.07453416149068323,0.06803249772606107,0.056935817805383024,0.043478260869565216,0.08199700662818046,0.05452212957023733,0.9536813964200284,0.009693940819996472,966,9354,0.09335528561202765,0.09350985746051269,0.9738917913445992,0.062023939064200215,0.12422360248447205,0.06761179755421674,0.09627329192546584,0.06314699792960662,0.04416031918752267,0.04352557127312296,0.9479927854924346,0.010880905132201052,966,11028,0.09350985746051269,0.0,0.0,102,6.335403726708074,1.29
