partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.05732,threshold,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,24,24,48,32,39,24,10.95,2.1917808219178085,0.0487062404870624,4.383561643835617,3.5616438356164384,2.1917808219178085,1.3333333333333333,16,1.5,7.875,0.0,0.3125,0.39479166666666665,164,412,0.0,0.0,0.0625,0.4375,16,8.5,13.4375,3.5,0.5,0.65625,235,412,0.0,0.0,0.0,0.3125
test,theta=0.05732,threshold,primary,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,677,1,1,2,1,1,1,11.283333333333333,0.08862629246676514,0.0014771048744460858,0.17725258493353027,0.08862629246676514,0.08862629246676514,1.0,16,1.5,4.0,0.5,0.125,0.37083333333333335,149,412,0.0,0.0,0.0,0.6875,16,9.5,13.8125,3.0,0.4375,0.6729166666666666,249,412,0.0,0.0,0.0,0.5
test,theta=0.05732,threshold,primary,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,966,4,4,8,5,4,4,16.1,0.24844720496894407,0.005175983436853002,0.49689440993788814,0.24844720496894407,0.24844720496894407,1.25,16,0.0,4.6875,0.0,0.125,0.29270833333333335,110,412,0.0,0.0,0.0,0.75,16,3.0,7.0,0.0,0.25,0.478125,209,412,0.0,0.0,0.0,0.4375
test,"k=3, theta=0.1978",moving_average,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,15,13,28,67,19,10,6.8,2.2058823529411766,0.1642156862745098,4.11764705882353,2.794117647058824,1.4705882352941178,4.466666666666667,16,2.0,6.125,2.0,0.25,0.4302083333333333,139,412,0.0,0.0,0.125,0.6875,16,2.0,2.125,2.0,0.0,0.2635416666666667,35,412,0.0,0.0,0.25,1.0
test,"k=3, theta=0.1978",moving_average,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,1,1,2,2,1,1,22.233333333333334,0.04497751124437781,0.0014992503748125937,0.08995502248875561,0.04497751124437781,0.04497751124437781,2.0,16,3.0,5.125,3.0,0.1875,0.5958333333333333,239,412,0.0,0.0,0.0,0.5625,16,2.0,6.875,2.0,0.25,0.49895833333333334,141,412,0.0,0.0,0.0,0.75
test,"k=3, theta=0.1978",moving_average,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,4,4,8,5,4,4,12.716666666666667,0.3145478374836173,0.00655307994757536,0.6290956749672346,0.3145478374836173,0.3145478374836173,1.25,16,2.5,6.8125,2.0,0.375,0.5604166666666667,163,412,0.0,0.0,0.0,0.5625,16,3.0,7.375,2.0,0.1875,0.459375,123,412,0.0,0.0,0.0,0.8125
test,"k=3, theta=0.1978",moving_average,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,1,1,2,2,1,1,29.0,0.034482758620689655,0.0011494252873563218,0.06896551724137931,0.034482758620689655,0.034482758620689655,2.0,16,2.0,8.4375,2.0,0.125,0.4895833333333333,178,412,0.0,0.0,0.0,0.75,16,3.0,7.6875,3.0,0.1875,0.5614583333333333,217,412,0.0,0.0,0.0,0.5
test,"k=3, theta=0.1978",moving_average,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,1,1,2,3,1,1,20.25,0.04938271604938271,0.0024691358024691358,0.09876543209876543,0.04938271604938271,0.04938271604938271,3.0,16,2.0,3.75,2.0,0.1875,0.5041666666666667,156,412,0.0,0.0,0.0,0.625,16,2.0,4.9375,2.0,0.1875,0.434375,119,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1978",moving_average,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,0,0,0,0,0,0,21.35,0.0,0.0,0.0,0.0,0.0,,16,2.0,3.4375,2.0,0.0625,0.4458333333333333,133,412,0.0,0.0,0.0,0.6875,16,2.0,4.6875,2.0,0.125,0.47291666666666665,158,412,0.0,0.0,0.0,0.75
test,"k=3, theta=0.1978",moving_average,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,0,0,0,0,0,0,15.433333333333334,0.0,0.0,0.0,0.0,0.0,,16,3.0,15.5625,3.0,0.5625,0.665625,255,412,0.0,0.0,0.0,0.4375,16,10.0,21.5625,10.0,0.6875,0.9010416666666666,364,412,0.0,0.0,0.0,0.1875
test,"k=3, theta=0.1978",moving_average,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,5,5,10,6,5,5,27.916666666666668,0.1791044776119403,0.003582089552238806,0.3582089552238806,0.1791044776119403,0.1791044776119403,1.2,16,2.0,4.8125,2.0,0.25,0.5489583333333333,181,412,0.0,0.0,0.0,0.625,16,2.0,4.875,2.0,0.125,0.559375,147,412,0.0,0.0,0.0,0.5
test,"k=3, theta=0.1978",moving_average,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,5,4,9,5,7,4,17.2,0.29069767441860467,0.0048449612403100775,0.5232558139534884,0.4069767441860465,0.23255813953488372,1.0,16,2.5,11.25,2.5,0.5,0.5645833333333333,181,412,0.0,0.0,0.0,0.5,16,3.0,10.6875,3.0,0.4375,0.6322916666666667,195,412,0.0,0.0,0.0,0.5
test,"k=3, theta=0.1978",moving_average,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,3,3,6,12,3,2,16.116666666666667,0.18614270941054809,0.012409513960703205,0.37228541882109617,0.18614270941054809,0.12409513960703206,4.0,16,6.5,11.4375,3.0,0.5,0.7020833333333333,209,412,0.0,0.0,0.0,0.3125,16,2.0,7.25,2.0,0.125,0.5104166666666666,158,412,0.0,0.0,0.0,0.75
test,"k=3, theta=0.1978",moving_average,primary,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,1295,5,5,10,15,4,4,21.583333333333332,0.23166023166023167,0.011583011583011582,0.46332046332046334,0.18532818532818535,0.18532818532818535,3.0,16,2.0,5.0625,2.0,0.125,0.3645833333333333,110,412,0.0,0.0,0.0,0.875,16,2.5,7.0,2.5,0.3125,0.5625,175,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1978",moving_average,primary,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,1295,1,1,2,1,1,1,21.583333333333332,0.04633204633204634,0.0007722007722007722,0.09266409266409267,0.04633204633204634,0.04633204633204634,1.0,16,3.0,9.75,2.5,0.3125,0.5677083333333334,194,412,0.0,0.0,0.0,0.6875,16,2.5,4.9375,2.0,0.3125,0.5916666666666667,188,412,0.0,0.0,0.0,0.4375
test,"k=3, theta=0.1978",moving_average,primary,5EF64122-B513-46AE-BCF1-E62AAC285D2C,754,0,0,0,0,0,0,12.566666666666666,0.0,0.0,0.0,0.0,0.0,,16,3.0,10.8125,2.5,0.5625,0.6802083333333333,188,412,0.0,0.0,0.0,0.375,16,4.0,11.375,3.5,0.5,0.7354166666666667,288,412,0.0,0.0,0.0,0.3125
test,"k=3, theta=0.1978",moving_average,primary,61976C24-1C50-4355-9C49-AAE44A7D09F6,1717,3,3,6,6,4,3,28.616666666666667,0.10483401281304601,0.0034944670937682005,0.20966802562609202,0.13977868375072802,0.10483401281304601,2.0,16,2.5,9.6875,2.5,0.3125,0.5770833333333333,210,412,0.0,0.0,0.0,0.4375,16,2.0,6.5,2.0,0.1875,0.4625,127,412,0.0,0.0,0.0,0.5625
test,"k=3, theta=0.1978",moving_average,primary,78A91A4E-4A51-4065-BDA7-94755F0BB3BB,2371,14,14,28,35,16,13,39.516666666666666,0.35428089413749475,0.014761703922395614,0.7085617882749895,0.4048924504428511,0.32897511598481655,2.5,16,7.0,9.25,2.5,0.3125,0.6260416666666666,219,412,0.0,0.0,0.0,0.4375,16,3.0,10.375,3.0,0.375,0.578125,225,412,0.0,0.0,0.0,0.4375
test,"k=3, theta=0.1978",moving_average,primary,7CE37510-56D0-4120-A1CF-0E23351428D2,1924,4,4,8,5,4,4,32.06666666666667,0.12474012474012473,0.002598752598752599,0.24948024948024947,0.12474012474012473,0.12474012474012473,1.25,16,2.0,3.0625,2.0,0.125,0.3927083333333333,89,412,0.0,0.0,0.0,0.6875,16,2.0,8.6875,2.0,0.25,0.6354166666666666,230,412,0.0,0.0,0.0,0.5625
test,"k=3, theta=0.1978",moving_average,primary,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,1809,9,9,18,15,10,9,30.15,0.2985074626865672,0.008291873963515755,0.5970149253731344,0.33167495854063017,0.2985074626865672,1.6666666666666667,16,2.0,6.1875,2.0,0.3125,0.5541666666666667,184,412,0.0,0.0,0.0,0.5,16,2.5,9.875,2.0,0.0625,0.50625,195,412,0.0,0.0,0.0,0.8125
test,"k=3, theta=0.1978",moving_average,primary,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,1879,14,14,28,46,16,12,31.316666666666666,0.44704630122405536,0.024481106971793506,0.8940926024481107,0.5109100585417775,0.38318254390633316,3.2857142857142856,16,2.5,5.25,2.0,0.3125,0.625,214,412,0.0,0.0,0.0,0.3125,16,2.0,5.5625,2.0,0.1875,0.5135416666666667,146,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1978",moving_average,primary,9759096F-1119-4E19-A0AD-6F16989C7E1C,1954,10,10,20,35,9,8,32.56666666666667,0.3070624360286591,0.01791197543500512,0.6141248720573182,0.27635619242579323,0.24564994882292732,3.5,16,2.5,12.25,2.5,0.4375,0.60625,220,412,0.0,0.0,0.0625,0.5,16,10.0,15.125,10.0,0.6875,0.784375,266,412,0.0,0.0,0.0,0.3125
test,"k=3, theta=0.1978",moving_average,primary,9DC38D04-E82E-4F29-AB52-B476535226F2,1909,1,1,2,4,1,1,31.816666666666666,0.03143006809848088,0.0020953378732320588,0.06286013619696176,0.03143006809848088,0.03143006809848088,4.0,16,3.0,14.9375,3.0,0.4375,0.5916666666666667,249,412,0.0,0.0,0.0,0.5,16,2.5,10.1875,2.5,0.3125,0.5854166666666667,187,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1978",moving_average,primary,A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,1179,2,2,4,3,2,2,19.65,0.10178117048346057,0.002544529262086514,0.20356234096692113,0.10178117048346057,0.10178117048346057,1.5,16,2.0,3.1875,2.0,0.25,0.46770833333333334,109,412,0.0,0.0,0.0,0.625,16,4.5,10.9375,4.5,0.25,0.6010416666666667,220,412,0.0,0.0,0.0,0.5625
test,"k=3, theta=0.1978",moving_average,primary,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,1475,0,0,0,0,0,0,24.583333333333332,0.0,0.0,0.0,0.0,0.0,,16,6.5,21.1875,6.5,0.6875,0.7916666666666666,353,412,0.0,0.0,0.0,0.1875,16,3.0,12.25,3.0,0.5,0.7197916666666666,235,412,0.0,0.0,0.0,0.375
test,"k=3, theta=0.1978",moving_average,primary,B09E373F-8A54-44C8-895B-0039390B859F,1597,1,1,2,1,1,1,26.616666666666667,0.03757044458359424,0.0006261740763932373,0.07514088916718847,0.03757044458359424,0.03757044458359424,1.0,16,4.5,17.3125,3.0,0.375,0.7197916666666666,315,412,0.0,0.0,0.0,0.375,16,4.0,10.1875,4.0,0.375,0.6572916666666666,200,412,0.0,0.0,0.0,0.5
test,"k=3, theta=0.1978",moving_average,primary,B9724848-C7E2-45F4-9B3F-A1F38D864495,1497,33,33,66,134,40,24,24.95,1.3226452905811623,0.0895123580494322,2.6452905811623246,1.6032064128256514,0.9619238476953909,4.0606060606060606,16,2.0,2.5,2.0,0.0,0.26979166666666665,75,412,0.0,0.0,0.0625,0.9375,16,2.0,4.8125,2.0,0.0625,0.34479166666666666,112,412,0.0,0.0,0.0625,0.9375
test,"k=3, theta=0.1978",moving_average,primary,BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,1633,2,2,4,3,3,2,27.216666666666665,0.07348438456827924,0.001837109614206981,0.14696876913655849,0.11022657685241886,0.07348438456827924,1.5,16,5.0,9.625,3.0,0.5,0.7677083333333333,282,412,0.0,0.0,0.0,0.25,16,4.5,10.1875,4.0,0.5,0.678125,198,412,0.0,0.0,0.0,0.25
test,"k=3, theta=0.1978",moving_average,primary,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,937,1,1,2,1,1,1,15.616666666666667,0.064034151547492,0.0010672358591248667,0.128068303094984,0.064034151547492,0.064034151547492,1.0,16,3.0,10.125,2.5,0.3125,0.5770833333333333,169,412,0.0,0.0,0.0,0.5625,16,2.0,8.75,2.0,0.125,0.5125,216,412,0.0,0.0,0.0,0.5625
test,"k=3, theta=0.1978",moving_average,primary,CA820D43-E5E2-42EF-9798-BE56F776370B,1543,1,1,2,2,1,1,25.716666666666665,0.0388852883992223,0.0012961762799740765,0.0777705767984446,0.0388852883992223,0.0388852883992223,2.0,16,5.0,11.0625,3.0,0.4375,0.6625,281,412,0.0,0.0,0.0,0.375,16,3.0,12.125,3.0,0.5625,0.66875,230,412,0.0,0.0,0.0,0.375
test,"k=3, theta=0.1978",moving_average,primary,CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,537,0,0,0,0,0,0,8.95,0.0,0.0,0.0,0.0,0.0,,16,2.0,5.8125,2.0,0.1875,0.5135416666666667,144,412,0.0,0.0,0.0,0.5,16,2.0,3.875,2.0,0.1875,0.45208333333333334,123,412,0.0,0.0,0.0,0.625
test,"k=3, theta=0.1978",moving_average,primary,CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,694,2,2,4,3,2,2,11.566666666666666,0.1729106628242075,0.004322766570605188,0.345821325648415,0.1729106628242075,0.1729106628242075,1.5,16,3.0,10.875,2.0,0.1875,0.59375,252,412,0.0,0.0,0.0,0.5625,16,6.5,9.25,4.0,0.375,0.6395833333333333,201,412,0.0,0.0,0.0,0.4375
test,"k=3, theta=0.1978",moving_average,primary,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,1212,4,4,8,10,4,3,20.2,0.19801980198019803,0.00825082508250825,0.39603960396039606,0.19801980198019803,0.1485148514851485,2.5,16,2.0,3.875,2.0,0.25,0.4927083333333333,117,412,0.0,0.0,0.0,0.5,16,5.0,12.0625,2.5,0.375,0.6333333333333333,234,412,0.0,0.0,0.0,0.5
test,"k=3, theta=0.1978",moving_average,primary,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,657,17,17,34,85,24,12,10.95,1.5525114155251143,0.1293759512937595,3.1050228310502286,2.1917808219178085,1.0958904109589043,5.0,16,2.0,6.375,2.0,0.1875,0.41770833333333335,165,412,0.0,0.0,0.25,0.4375,16,4.0,8.125,3.0,0.375,0.6375,208,412,0.0,0.0,0.0625,0.5625
