enrolled_user,mechanism,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
61976C24-1C50-4355-9C49-AAE44A7D09F6,margin_dual_threshold,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61976C24-1C50-4355-9C49-AAE44A7D09F6,moving_average,0.002777777777777778,0.01388888888888889,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.16666666666666666,1.6666666666666667,0.16666666666666666,1.6666666666666667,0.01388888888888889
61976C24-1C50-4355-9C49-AAE44A7D09F6,trust_model,0.03333333333333333,0.10555555555555556,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,12.666666666666666,2.0,12.666666666666666,0.10555555555555556
61976C24-1C50-4355-9C49-AAE44A7D09F6,trust_model_single,0.011111111111111112,0.030555555555555558,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.6666666666666666,3.6666666666666665,0.6666666666666666,3.6666666666666665,0.030555555555555558
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,debounce,0.016666666666666666,0.027777777777777776,3.3333333333333335,1.3333333333333333,0.0,1.86219739292365,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.027777777777777776
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,ewma,0.0,0.027777777777777776,2.8333333333333335,0.8333333333333334,0.0,1.5828677839851022,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,1.6666666666666667,0.027777777777777776
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,hysteresis,0.016666666666666666,0.016666666666666666,2.3333333333333335,0.3333333333333333,0.0,1.303538175046555,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.016666666666666666
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,instantaneous,0.0,0.018055555555555557,3.8333333333333335,1.8333333333333333,0.0,2.1415270018621975,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.018055555555555557
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,majority_vote,0.016666666666666666,0.030555555555555558,3.5,1.5,0.0,1.9553072625698322,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.030555555555555558
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,margin_dual_threshold,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,moving_average,0.002777777777777778,0.02361111111111111,2.8333333333333335,0.8333333333333334,0.0,1.5828677839851022,0.5,0.0,0.0,0.16666666666666666,1.6666666666666667,0.16666666666666666,1.6666666666666667,0.02361111111111111
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,trust_model,0.019444444444444445,0.1125,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.1666666666666667,13.5,1.1666666666666667,13.5,0.1125
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,trust_model_single,0.011111111111111112,0.03333333333333333,2.3333333333333335,0.3333333333333333,0.0,1.303538175046555,0.3333333333333333,0.0,0.0,0.6666666666666666,3.8333333333333335,0.6666666666666666,3.8333333333333335,0.03333333333333333
7CE37510-56D0-4120-A1CF-0E23351428D2,debounce,0.14,0.27166666666666667,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,3.6,11.0,3.6,11.0,0.27166666666666667
7CE37510-56D0-4120-A1CF-0E23351428D2,ewma,0.10333333333333335,0.25999999999999995,6.8,4.8,0.0,3.7988826815642462,3.8,0.0,0.0,0.0,6.2,0.0,6.2,0.25999999999999995
7CE37510-56D0-4120-A1CF-0E23351428D2,hysteresis,0.12000000000000002,0.23000000000000004,2.6,0.6,0.0,1.452513966480447,0.0,0.0,0.0,0.8,4.8,0.8,4.8,0.23000000000000004
7CE37510-56D0-4120-A1CF-0E23351428D2,instantaneous,0.11333333333333333,0.30333333333333334,18.0,16.0,0.0,10.05586592178771,16.8,0.0,0.0,0.0,4.8,0.0,4.8,0.30333333333333334
7CE37510-56D0-4120-A1CF-0E23351428D2,majority_vote,0.10333333333333335,0.25,3.0,1.2,0.2,1.675977653631285,0.0,0.0,0.0,0.8,8.6,0.8,8.6,0.25
7CE37510-56D0-4120-A1CF-0E23351428D2,margin_dual_threshold,0.11000000000000001,0.2833333333333333,3.8,1.8,0.0,2.122905027932961,0.8,0.0,0.0,0.0,6.2,0.0,6.2,0.2833333333333333
7CE37510-56D0-4120-A1CF-0E23351428D2,moving_average,0.11333333333333336,0.265,5.6,3.6,0.0,3.128491620111732,2.4,0.0,0.0,0.2,6.2,0.2,6.2,0.265
7CE37510-56D0-4120-A1CF-0E23351428D2,trust_model,0.10333333333333332,0.15666666666666665,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,9.6,2.0,9.6,0.15666666666666665
7CE37510-56D0-4120-A1CF-0E23351428D2,trust_model_single,0.12,0.19666666666666668,3.2,1.2,0.0,1.7877094972067038,0.8,0.0,0.0,2.0,8.8,2.0,8.8,0.19666666666666668
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,debounce,0.016666666666666666,0.013888888888888888,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.6666666666666667,1.0,1.6666666666666667,0.013888888888888888
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,ewma,0.0,0.030555555555555555,3.0,1.0,0.0,1.6759776536312847,1.0,0.0,0.0,0.0,3.1666666666666665,0.0,3.1666666666666665,0.030555555555555555
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,hysteresis,0.016666666666666666,0.013888888888888888,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.6666666666666667,1.0,1.6666666666666667,0.013888888888888888
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,instantaneous,0.0,0.012500000000000002,5.0,3.0,0.0,2.793296089385475,3.1666666666666665,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.012500000000000002
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,majority_vote,0.016666666666666666,0.01388888888888889,3.0,1.0,0.0,1.6759776536312847,1.1666666666666667,0.0,0.0,1.0,1.5,1.0,1.5,0.01388888888888889
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,margin_dual_threshold,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,moving_average,0.0,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.016666666666666666
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,trust_model,0.0,0.31527777777777777,1.6666666666666667,0.0,0.3333333333333333,0.931098696461825,0.0,0.0,0.3333333333333333,0.0,26.75,0.0,37.833333333333336,0.31527777777777777
