enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames,detected,recovered
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,hysteresis,"{""theta"": 0.8925222696411251, ""margin"": 0.05, ""ttt_frames"": 2}",180,60,120,0.0166666666666666,0.0083333333333333,1,1,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,1.0,1,0.0083333333333333,1.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,trust_model,"{""theta"": 0.9213984287099902, ""gain"": 0.3, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.1916666666666666,0,23,60,120,2,1.11731843575419,0,60.0,60.0,0.5388888888888889,0.0,23,0.1916666666666666,23.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s0,806289BC-AD52-4CC1-806C-0CDB14D65EB6,sprt,"{""A"": 8, ""B"": 1, ""mu_gen"": 0.9259595592197434, ""sd_gen"": 0.03251697868706521, ""mu_imp"": 0.550189675611596, ""sd_imp"": 0.31638437221706395}",180,60,120,0.0,0.05,0,6,60,120,2,1.11731843575419,0,60.0,60.0,0.6333333333333333,0.0,6,0.05,6.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,instantaneous,"{""theta"": 0.867532641945833}",180,60,120,0.0,0.0,0,0,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,moving_average,"{""theta"": 0.8648709990300678, ""w"": 3}",180,60,120,0.0,0.0166666666666666,0,2,60,120,2,1.11731843575419,0,60.0,60.0,0.6555555555555556,0.0,2,0.0166666666666666,2.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,ewma,"{""theta"": 0.8692350966201596, ""alpha"": 0.2}",180,60,120,0.0,0.1,0,12,60,120,2,1.11731843575419,0,60.0,60.0,0.6,0.0,12,0.1,12.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,majority_vote,"{""theta"": 0.869716929045736, ""w"": 3, ""k"": 2}",180,60,120,0.0166666666666666,0.0083333333333333,1,1,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,1.0,1,0.0083333333333333,1.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,debounce,"{""theta"": 0.8702818771916735, ""n"": 2}",180,60,120,0.0166666666666666,0.0083333333333333,1,1,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,1.0,1,0.0083333333333333,1.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,margin_dual_threshold,"{""theta"": 0.8557284190106693, ""margin"": 0.05}",180,60,120,0.0,0.0,0,0,60,120,2,1.11731843575419,0,60.0,60.0,0.6666666666666666,0.0,0,0.0,0.0,True,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,1538C99F_s1,33A85C34-CFE4-4732-9E73-0A7AC861B27A,hysteresis,"{""theta"": 0.8925222696411251, ""margin"": 0.05, ""ttt_frames"": 2}",180,60,120,0.0166666666666666,0.0666666666666666,1,8,60,120,2,1.11731843575419,0,60.0,61.0,0.6277777777777778,1.0,8,0.0666666666666666,8.0,True,True
