target,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine,n_users_feasible
0.03,0.1,1,margin_only,0.025505050505050506,0.07457070707070707,2.73030303030303,0.7484848484848485,0.018181818181818184,1.525308955476553,0.5757575757575757,0.01515151515151515,0.03333333333333333,0.01515151515151515,1.9772727272727273,0.9242424242424242,3.809090909090909,0.07457070707070707,11
0.03,0.1,2,hysteresis,0.04113888888888889,0.20380555555555557,1.8116666666666668,0.12166666666666666,0.3,1.0121042830540037,0.016666666666666666,0.018333333333333333,0.30666666666666664,1.1516666666666666,5.4564814814814815,2.1933333333333334,21.808333333333334,0.20380555555555557,20
0.03,0.1,3,hysteresis,0.03563888888888889,0.3605069444444445,1.7625,0.22166666666666668,0.45916666666666667,0.9846368715083799,0.0,0.008333333333333333,0.5108333333333334,1.6516666666666666,11.970588235294118,2.138333333333333,35.67166666666667,0.3605069444444445,20
0.03,0.1,5,hysteresis,0.034444444444444444,0.5632407407407407,1.3925925925925926,0.040740740740740744,0.6481481481481483,0.7779846885992137,0.0,0.0,0.7111111111111111,2.066666666666667,20.6875,2.066666666666667,47.63333333333333,0.5632407407407407,9
0.03,0.1,10,hysteresis,0.06,0.6799999999999999,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,3.6,,3.6,60.0,0.6799999999999999,1
0.03,0.2,1,margin_only,0.031172839506172834,0.11348765432098766,2.1481481481481484,0.24814814814814815,0.1,1.2000827643285743,0.0,0.018518518518518517,0.07777777777777778,0.14814814814814814,5.657407407407407,1.240740740740741,9.014814814814816,0.11348765432098766,9
0.03,0.2,2,hysteresis,0.06493827160493829,0.32496913580246917,1.4481481481481482,0.0,0.5296296296296297,0.8090213118146079,0.0,0.040740740740740744,0.48888888888888893,1.5777777777777777,17.575,3.896296296296296,36.11851851851852,0.32496913580246917,9
0.03,0.2,3,hysteresis,0.03333333333333333,0.08166666666666667,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,9.8,2.0,9.8,0.08166666666666667,1
0.05,0.0,1,instantaneous,0.04305555555555555,0.04212037037037038,3.9555555555555557,2.0122222222222224,0.05,2.2098075729360644,2.042222222222222,0.017777777777777778,0.042222222222222223,0.35,0.18222222222222223,1.4166666666666667,2.7155555555555555,0.04212037037037038,30
0.05,0.0,2,dwell_only,0.0492528735632184,0.052231800766283525,2.408045977011494,0.46551724137931033,0.05057471264367817,1.3452770821293263,0.23908045977011494,0.012643678160919542,0.04367816091954023,1.297126436781609,1.1620689655172414,2.0413793103448277,3.740229885057471,0.052231800766283525,29
0.05,0.0,3,dwell_only,0.06181818181818182,0.058762626262626266,2.159090909090909,0.19393939393939394,0.034848484848484844,1.206196038598273,0.03333333333333333,0.007575757575757575,0.034848484848484844,2.7227272727272727,2.3318181818181816,3.162121212121212,4.3560606060606055,0.058762626262626266,22
0.05,0.0,5,dwell_only,0.06337813620071683,0.2381048387096774,2.5940860215053765,0.6763440860215053,0.08225806451612902,1.4492100678800983,0.0,0.005376344086021505,0.14731182795698924,3.153225806451613,8.001075268817205,3.454301075268817,15.39516129032258,0.2381048387096774,31
0.05,0.0,10,dwell_only,0.0783625730994152,0.5048099415204679,1.7070175438596489,0.1350877192982456,0.4280701754385965,0.9536410859551112,0.0,0.0,0.47543859649122805,4.4491228070175435,19.365625,4.4491228070175435,38.35087719298245,0.5048099415204679,19
0.05,0.05,1,margin_only,0.03452777777777778,0.06061805555555555,2.8316666666666666,0.9133333333333333,0.07333333333333333,1.5819366852886405,0.7866666666666666,0.016666666666666666,0.06333333333333332,0.385,0.3433333333333334,1.3583333333333332,4.105833333333334,0.06061805555555555,20
0.05,0.05,2,hysteresis,0.053492063492063494,0.07892857142857143,2.2333333333333334,0.28809523809523807,0.054761904761904755,1.2476722532588453,0.047619047619047616,0.011904761904761904,0.054761904761904755,1.657142857142857,1.5547619047619048,2.3595238095238096,4.788095238095238,0.07892857142857143,14
0.05,0.05,3,hysteresis,0.06283333333333334,0.13979166666666668,2.02,0.18666666666666668,0.15666666666666668,1.1284916201117317,0.0,0.018333333333333333,0.155,2.38,6.489166666666667,3.4033333333333333,14.736666666666668,0.13979166666666668,20
0.05,0.05,5,hysteresis,0.06150205761316872,0.3394341563786008,1.8771604938271604,0.2598765432098765,0.3827160493827161,1.0486930133112629,0.0,0.006172839506172839,0.42407407407407405,3.2641975308641977,11.95072463768116,3.6098765432098765,31.535802469135803,0.3394341563786008,27
