enrolled_user,target,cell,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.03,m0_k10,0.0,10,dwell_only,0.08,0.6483333333333333,1.6,0.2,0.6,0.8938547486033519,0.0,0.0,0.8,4.8,23.0,4.8,52.6,0.6483333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.03,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.011666666666666667,2.4,0.4,0.0,1.3407821229050279,0.4,0.0,0.0,1.0,1.0,1.0,1.0,0.011666666666666667
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.03,m0_k3,0.0,3,dwell_only,0.03333333333333333,0.1,4.6,2.6,0.0,2.569832402234637,0.4,0.0,0.0,2.0,3.0,2.0,3.0,0.1
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.03,m0_k5,0.0,5,dwell_only,0.04666666666666667,0.5083333333333333,4.2,2.2,0.0,2.346368715083799,0.0,0.0,0.2,2.8,15.5,2.8,24.4,0.5083333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0.05_k5,0.05,5,hysteresis,0.05333333333333333,0.28500000000000003,3.2,1.4,0.2,1.7877094972067038,0.0,0.0,0.2,3.2,12.5,3.2,22.0,0.28500000000000003
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0.1_k1,0.1,1,margin_only,0.0,0.015000000000000003,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,1.8,0.0,1.8,0.015000000000000003
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0.1_k3,0.1,3,hysteresis,0.03333333333333333,0.08666666666666667,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,10.4,2.0,10.4,0.08666666666666667
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0.1_k5,0.1,5,hysteresis,0.05333333333333333,0.5316666666666666,2.0,0.6,0.6,1.1173184357541899,0.0,0.0,0.8,3.2,20.0,3.2,52.0,0.5316666666666666
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0_k1,0.0,1,instantaneous,0.0,0.003333333333333333,2.8,0.8,0.0,1.564245810055866,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.003333333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0_k10,0.0,10,dwell_only,0.11333333333333333,0.5816666666666667,2.2,0.4,0.2,1.2290502793296088,0.0,0.0,0.6,6.8,39.5,6.8,51.8,0.5816666666666667
