target_name,outcome,mechanism,avg_rank,n_users,nemenyi_cd,friedman_p
sensitivity_2,frr_time,threshold,3.5625,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,moving_average,3.5,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,ewma,4.1875,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,majority_vote,4.375,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,debounce,5.0625,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,margin,5.5625,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,hysteresis,5.3125,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,trust,6.375,8,4.247219188075149,0.002786470320916779
sensitivity_2,frr_time,sprt,7.0625,8,4.247219188075149,0.002786470320916779
sensitivity_2,false_locks_per_hour,threshold,4.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,moving_average,5.5,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,ewma,5.5,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,majority_vote,4.625,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,debounce,4.3125,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,margin,5.25,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,hysteresis,3.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,trust,5.5625,8,4.247219188075149,0.4690960009480011
sensitivity_2,false_locks_per_hour,sprt,5.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,threshold,4.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,moving_average,5.5,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,ewma,5.5,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,majority_vote,4.625,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,debounce,4.3125,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,margin,5.25,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,hysteresis,3.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,trust,5.5625,8,4.247219188075149,0.4690960009480011
sensitivity_2,transitions_per_hour,sprt,5.75,8,4.247219188075149,0.4690960009480011
sensitivity_2,pingpong_per_hour,threshold,5.5,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,moving_average,5.8125,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,ewma,5.9375,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,majority_vote,5.125,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,debounce,4.875,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,margin,5.5,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,hysteresis,3.75,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,trust,4.5625,8,4.247219188075149,0.12097694981217309
sensitivity_2,pingpong_per_hour,sprt,3.9375,8,4.247219188075149,0.12097694981217309
sensitivity_2,lockout_mean_frames,threshold,1.0,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,moving_average,2.0,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,ewma,3.0,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,majority_vote,4.0,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,debounce,6.75,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,margin,5.5,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,hysteresis,8.25,2,8.494438376150297,
sensitivity_2,lockout_mean_frames,trust,6.5,2,8.494438376150297,
