target_name,mechanism,params_str,partition,genuine_uuid,run,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks
primary,threshold,theta=0.05732,test,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,20,966,4,4,8,5,4,4
primary,moving_average,"k=3, theta=0.1978",test,00EABED2-271D-49D8-B599-1D4A09240601,25,300,5,5,10,17,6,4
primary,moving_average,"k=3, theta=0.1978",test,00EABED2-271D-49D8-B599-1D4A09240601,42,96,9,8,17,47,13,6
primary,moving_average,"k=3, theta=0.1978",test,00EABED2-271D-49D8-B599-1D4A09240601,44,12,1,0,1,3,0,0
primary,moving_average,"k=3, theta=0.1978",test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,15,114,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,16,733,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,17,292,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,18,91,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,19,104,1,1,2,2,1,1
primary,moving_average,"k=3, theta=0.1978",test,0A986513-7828-4D53-AA1F-E02D6DF9561B,8,763,4,4,8,5,4,4
primary,moving_average,"k=3, theta=0.1978",test,11B5EC4D-4133-4289-B475-4E737182A406,7,1407,1,1,2,2,1,1
primary,moving_average,"k=3, theta=0.1978",test,11B5EC4D-4133-4289-B475-4E737182A406,8,333,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,136562B6-95B2-483D-88DC-065F28409FD2,22,145,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,136562B6-95B2-483D-88DC-065F28409FD2,23,747,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,136562B6-95B2-483D-88DC-065F28409FD2,24,323,1,1,2,3,1,1
primary,moving_average,"k=3, theta=0.1978",test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,30,406,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,1538C99F-BA1E-4EFB-A949-6C7C47701B20,31,875,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,18,68,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,19,374,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,20,166,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,21,120,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,24E40C4C-A349-4F9F-93AB-01D00FB994AF,22,198,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,11,377,1,1,2,1,1,1
primary,moving_average,"k=3, theta=0.1978",test,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,12,1298,4,4,8,5,4,4
primary,moving_average,"k=3, theta=0.1978",test,3600D531-0C55-44A7-AE95-A7A38519464E,27,170,5,4,9,5,7,4
primary,moving_average,"k=3, theta=0.1978",test,3600D531-0C55-44A7-AE95-A7A38519464E,28,205,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,3600D531-0C55-44A7-AE95-A7A38519464E,31,23,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,3600D531-0C55-44A7-AE95-A7A38519464E,32,612,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,3600D531-0C55-44A7-AE95-A7A38519464E,33,22,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,4FC32141-E888-4BFF-8804-12559A491D8C,12,67,3,3,6,12,3,2
primary,moving_average,"k=3, theta=0.1978",test,4FC32141-E888-4BFF-8804-12559A491D8C,13,164,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,4FC32141-E888-4BFF-8804-12559A491D8C,14,59,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,4FC32141-E888-4BFF-8804-12559A491D8C,15,677,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,11,461,1,1,2,1,1,1
primary,moving_average,"k=3, theta=0.1978",test,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,12,125,3,3,6,11,2,2
primary,moving_average,"k=3, theta=0.1978",test,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,13,709,1,1,2,3,1,1
primary,moving_average,"k=3, theta=0.1978",test,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,9,775,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,10,501,1,1,2,1,1,1
primary,moving_average,"k=3, theta=0.1978",test,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,11,19,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,5EF64122-B513-46AE-BCF1-E62AAC285D2C,12,178,0,0,0,0,0,0
primary,moving_average,"k=3, theta=0.1978",test,5EF64122-B513-46AE-BCF1-E62AAC285D2C,13,576,0,0,0,0,0,0
