mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
hysteresis,"{'theta': 0.9544980846491637, 'margin': 0.05, 'ttt_frames': 10}",0.05,0.5847222222222223,0.05,0.01,"[0.04, 0.060000000000000005]",588,20,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
trust_model,"{'theta': 0.8810280668971316, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.1236111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",441,9,True,True,within_interval,0.0,1.0,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
sprt,"{'A': 4, 'B': 1, 'mu_gen': 0.9257841778525233, 'sd_gen': 0.04442737009514505, 'mu_imp': 0.46156451462206854, 'sd_imp': 0.3026893190184544}",0.3194444444444444,0.0055555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.3194444444444444,0.3333333333333333,2C32C23E-E30C-498A-8DD2-0EFB9150A02E
instantaneous,{'theta': 0.8917070779036719},0.05,0.0013888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",72,11,True,True,within_interval,0.0,0.9694444444444444,3600D531-0C55-44A7-AE95-A7A38519464E
moving_average,"{'theta': 0.8897215263573196, 'w': 3}",0.05,0.0097222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",288,21,True,True,within_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
ewma,"{'theta': 0.8973006473458819, 'alpha': 0.1}",0.0555555555555555,0.1416666666666666,0.05,0.01,"[0.04, 0.060000000000000005]",288,11,True,True,within_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
majority_vote,"{'theta': 0.8879976710870048, 'w': 5, 'k': 4}",0.05,0.0208333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",360,38,True,True,within_interval,0.0,0.9888888888888888,3600D531-0C55-44A7-AE95-A7A38519464E
debounce,"{'theta': 0.892632514383336, 'n': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",288,39,True,True,within_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
margin_dual_threshold,"{'theta': 0.8717155661786675, 'margin': 0.05}",0.0388888888888888,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",288,0,False,False,below_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
hysteresis,"{'theta': 0.8717155661786675, 'margin': 0.05, 'ttt_frames': 2}",0.0555555555555555,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",864,93,True,True,within_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
trust_model,"{'theta': 0.9281043123194901, 'gain': 0.6, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.3777777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",648,11,True,True,within_interval,0.0,1.0,3600D531-0C55-44A7-AE95-A7A38519464E
sprt,"{'A': 8, 'B': 16, 'mu_gen': 0.9530587092919032, 'sd_gen': 0.030684789158837364, 'mu_imp': 0.4563990417067799, 'sd_imp': 0.33822403402214174}",0.0583333333333333,0.0138888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",25,1,True,True,within_interval,0.0027777777777777,0.1527777777777778,3600D531-0C55-44A7-AE95-A7A38519464E
instantaneous,{'theta': 0.7683725798011513},0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",72,10,True,True,within_interval,0.0,0.9694444444444444,4FC32141-E888-4BFF-8804-12559A491D8C
moving_average,"{'theta': 0.769891956782713, 'w': 3}",0.0527777777777777,0.0097222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",288,20,True,True,within_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
ewma,"{'theta': 0.769891956782713, 'alpha': 0.5}",0.0527777777777777,0.0111111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",288,19,True,True,within_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
majority_vote,"{'theta': 0.7695604395604395, 'w': 3, 'k': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",360,47,True,True,within_interval,0.0,0.9944444444444444,4FC32141-E888-4BFF-8804-12559A491D8C
debounce,"{'theta': 0.8518464685874351, 'n': 10}",0.05,0.5513888888888889,0.05,0.01,"[0.04, 0.060000000000000005]",288,17,True,True,within_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
margin_dual_threshold,"{'theta': 0.8125505902360944, 'margin': 0.1}",0.0638888888888888,0.25,0.05,0.01,"[0.04, 0.060000000000000005]",288,0,False,False,above_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
hysteresis,"{'theta': 0.8759490996398559, 'margin': 0.05, 'ttt_frames': 10}",0.05,0.7041666666666667,0.05,0.01,"[0.04, 0.060000000000000005]",864,16,True,True,within_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
trust_model,"{'theta': 0.84343737494998, 'gain': 0.3, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.5,0.05,0.01,"[0.04, 0.060000000000000005]",648,23,True,True,within_interval,0.0,1.0,4FC32141-E888-4BFF-8804-12559A491D8C
sprt,"{'A': 1, 'B': 1, 'mu_gen': 0.8576891867858254, 'sd_gen': 0.04479317533613049, 'mu_imp': 0.5457716419901294, 'sd_imp': 0.21060684218353087}",0.0861111111111111,0.0027777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.0861111111111111,0.1833333333333333,4FC32141-E888-4BFF-8804-12559A491D8C
instantaneous,{'theta': 0.8725808687099009},0.05,0.0041666666666666,0.05,0.01,"[0.04, 0.060000000000000005]",65,8,True,True,within_interval,0.0,0.9694444444444444,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
moving_average,"{'theta': 0.8725176789692919, 'w': 10}",0.05,0.0555555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",260,29,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
ewma,"{'theta': 0.8725808687099009, 'alpha': 0.5}",0.05,0.0152777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",260,24,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
majority_vote,"{'theta': 0.8723465897659447, 'w': 5, 'k': 4}",0.05,0.025,0.05,0.01,"[0.04, 0.060000000000000005]",325,38,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
debounce,"{'theta': 0.9079552165068294, 'n': 5}",0.05,0.0819444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",260,14,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
margin_dual_threshold,"{'theta': 0.8702995640802093, 'margin': 0.05}",0.0305555555555555,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",260,0,False,False,below_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
hysteresis,"{'theta': 0.9320064031773709, 'margin': 0.05, 'ttt_frames': 5}",0.05,0.3055555555555556,0.05,0.01,"[0.04, 0.060000000000000005]",780,17,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
trust_model,"{'theta': 0.90300676160031, 'gain': 0.3, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.2986111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",585,14,True,True,within_interval,0.0,1.0,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
sprt,"{'A': 16, 'B': 4, 'mu_gen': 0.9383203095568686, 'sd_gen': 0.033397629969120525, 'mu_imp': 0.4651065043538161, 'sd_imp': 0.2802349370662641}",0.1111111111111111,0.0319444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.1111111111111111,0.1694444444444444,5119D0F8-FCA8-4184-A4EB-19421A40DE0D
instantaneous,{'theta': 0.8451979522947265},0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",77,13,True,True,within_interval,0.0,0.9694444444444444,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
moving_average,"{'theta': 0.8427901847256685, 'w': 5}",0.05,0.025,0.05,0.01,"[0.04, 0.060000000000000005]",308,45,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
ewma,"{'theta': 0.8427901847256685, 'alpha': 0.5}",0.05,0.0111111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",308,41,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
majority_vote,"{'theta': 0.8476453624840721, 'w': 3, 'k': 2}",0.05,0.0069444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",385,49,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
debounce,"{'theta': 0.8476453624840721, 'n': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",308,52,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
margin_dual_threshold,"{'theta': 0.8427901847256685, 'margin': 0.05}",0.0527777777777777,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",308,1,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
hysteresis,"{'theta': 0.9869908747457135, 'margin': 0.05, 'ttt_frames': 10}",0.05,0.7805555555555556,0.05,0.01,"[0.04, 0.060000000000000005]",924,112,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
trust_model,"{'theta': 0.8444998844998846, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.0569444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",693,56,True,True,within_interval,0.0,1.0,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
sprt,"{'A': 1, 'B': 16, 'mu_gen': 0.9422511220898317, 'sd_gen': 0.03577535100349242, 'mu_imp': 0.5057353051976707, 'sd_imp': 0.23544363183947623}",0.0555555555555555,0.0097222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",25,2,True,True,within_interval,0.0,0.0555555555555555,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53
instantaneous,{'theta': 0.8951159901231464},0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",80,13,True,True,within_interval,0.0,0.9694444444444444,5EF64122-B513-46AE-BCF1-E62AAC285D2C
moving_average,"{'theta': 0.8258391393926053, 'w': 3}",0.05,0.0152777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",320,17,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
ewma,"{'theta': 0.8066542943868645, 'alpha': 0.5}",0.05,0.0138888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",320,15,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
majority_vote,"{'theta': 0.9025555573030527, 'w': 3, 'k': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",400,85,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
debounce,"{'theta': 0.9025555573030527, 'n': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",320,31,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
margin_dual_threshold,"{'theta': 0.8712784863878706, 'margin': 0.05}",0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",320,8,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
hysteresis,"{'theta': 0.809251529496878, 'margin': 0.2, 'ttt_frames': 2}",0.05,0.0083333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",960,29,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
trust_model,"{'theta': 0.8066542943868645, 'gain': 0.6, 'decay': 0.2, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.0361111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",720,93,True,True,within_interval,0.0,1.0,5EF64122-B513-46AE-BCF1-E62AAC285D2C
sprt,"{'A': 1, 'B': 1, 'mu_gen': 0.9559144914695925, 'sd_gen': 0.02226220199718443, 'mu_imp': 0.3759399350280561, 'sd_imp': 0.2714950511244311}",0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",25,5,True,True,within_interval,0.0055555555555555,0.0555555555555555,5EF64122-B513-46AE-BCF1-E62AAC285D2C
instantaneous,{'theta': 0.8472860026628871},0.05,0.0263888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",79,14,True,True,within_interval,0.0,0.9694444444444444,61976C24-1C50-4355-9C49-AAE44A7D09F6
moving_average,"{'theta': 0.8480643309138285, 'w': 3}",0.05,0.0111111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",316,31,True,True,within_interval,0.0,1.0,61976C24-1C50-4355-9C49-AAE44A7D09F6
ewma,"{'theta': 0.8511620781972541, 'alpha': 0.3}",0.05,0.0222222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",316,23,True,True,within_interval,0.0,1.0,61976C24-1C50-4355-9C49-AAE44A7D09F6
majority_vote,"{'theta': 0.8483205199788114, 'w': 3, 'k': 2}",0.05,0.0166666666666666,0.05,0.01,"[0.04, 0.060000000000000005]",395,51,True,True,within_interval,0.0,0.9944444444444444,61976C24-1C50-4355-9C49-AAE44A7D09F6
debounce,"{'theta': 0.8988028010422483, 'n': 10}",0.05,0.3763888888888889,0.05,0.01,"[0.04, 0.060000000000000005]",316,60,True,True,within_interval,0.0,1.0,61976C24-1C50-4355-9C49-AAE44A7D09F6
